Detector Type,Descriptor Type,Matcher Type,Descriptor Content Type,Selector Type,Total N keypoints,Only on vehicle Keypoints,N of Matched keypoints,Detector performance,Descriptor performance,Matcher+Selector performance,Detector+Descriptor performance,Matching BBox performance,Total time,Image pairs,TTC Camera,TTC Lidar,Lidar distance to car
SIFT,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,2095,49,49,71.4367,4.76428,19.6269,76.201,0.807764,96.6356,TTC_16_17.bmp,9.28811,9.16182,6.963
SIFT,BRIEF,MAT_FLANN,DES_BINARY,SEL_KNN,2159,49,49,69.338,4.90978,19.321,74.2478,0.931384,94.5001,TTC_17_18.bmp,9.64341,8.82697,6.885
SIFT,FREAK,MAT_FLANN,DES_BINARY,SEL_KNN,1915,34,34,146.068,59.2292,19.5569,205.297,0.47248,225.326,TTC_0_1.bmp,15.5638,12.3137,8.004
SIFT,FREAK,MAT_FLANN,DES_BINARY,SEL_KNN,1824,39,39,73.3024,31.761,21.9726,105.063,0.546998,127.583,TTC_1_2.bmp,14.7254,11.6706,7.936
SIFT,FREAK,MAT_FLANN,DES_BINARY,SEL_KNN,1837,44,44,82.9704,37.646,23.9858,120.616,0.585251,145.187,TTC_2_3.bmp,19.224,15.7721,7.886
SIFT,FREAK,MAT_FLANN,DES_BINARY,SEL_KNN,1827,32,32,102.596,37.1019,23.0384,139.698,0.740923,163.477,TTC_3_4.bmp,21.5677,16.6787,7.839
SIFT,FREAK,MAT_FLANN,DES_BINARY,SEL_KNN,1877,31,31,68.9357,29.2516,18.713,98.1873,0.513395,117.414,TTC_4_5.bmp,20.7881,15.5779,7.789
SIFT,FREAK,MAT_FLANN,DES_BINARY,SEL_KNN,1931,42,42,66.9267,29.49,18.7624,96.4167,0.525932,115.705,TTC_5_6.bmp,12.62,11.8831,7.724
SIFT,FREAK,MAT_FLANN,DES_BINARY,SEL_KNN,1964,34,34,69.8468,30.3884,20.1095,100.235,0.515467,120.86,TTC_6_7.bmp,21.9562,11.7831,7.659
SIFT,FREAK,MAT_FLANN,DES_BINARY,SEL_KNN,1954,42,42,69.4524,29.6027,19.8892,99.0551,0.552695,119.497,TTC_7_8.bmp,15.8638,13.5768,7.603
SIFT,FREAK,MAT_FLANN,DES_BINARY,SEL_KNN,1984,31,31,70.6468,30.2088,19.4996,100.856,0.488541,120.844,TTC_8_9.bmp,25.629,13.9795,7.549
SIFT,FREAK,MAT_FLANN,DES_BINARY,SEL_KNN,2046,33,33,70.638,31.5238,20.1073,102.162,0.519413,122.789,TTC_9_10.bmp,16.6286,11.5139,7.484
SIFT,FREAK,MAT_FLANN,DES_BINARY,SEL_KNN,2065,21,21,69.4276,30.7513,21.9703,100.179,0.510176,122.659,TTC_10_11.bmp,15.8192,12.5847,7.425
SIFT,FREAK,MAT_FLANN,DES_BINARY,SEL_KNN,2007,40,40,69.863,31.1164,20.9859,100.979,0.495535,122.461,TTC_11_12.bmp,11.5501,8.73927,7.341
SIFT,FREAK,MAT_FLANN,DES_BINARY,SEL_KNN,2029,29,29,74.5591,29.7841,20.5298,104.343,0.526485,125.399,TTC_12_13.bmp,10.6607,9.95617,7.268
SIFT,FREAK,MAT_FLANN,DES_BINARY,SEL_KNN,2048,30,30,70.6578,32.2851,20.5218,102.943,0.550613,124.015,TTC_13_14.bmp,12.0456,9.72157,7.194
SIFT,FREAK,MAT_FLANN,DES_BINARY,SEL_KNN,2044,40,40,69.0734,34.1072,20.6933,103.181,0.578423,124.452,TTC_14_15.bmp,10.5532,8.16898,7.107
SIFT,FREAK,MAT_FLANN,DES_BINARY,SEL_KNN,2088,43,43,68.4978,30.9195,21.9196,99.4173,0.611002,121.948,TTC_15_16.bmp,9.00415,10.3515,7.039
SIFT,FREAK,MAT_FLANN,DES_BINARY,SEL_KNN,2095,36,36,76.1273,47.5658,21.3147,123.693,0.598334,145.606,TTC_16_17.bmp,9.36459,9.16182,6.963
